1,1,850
1,2,920
1,3,780
1,4,650
1,5,880
1,6,730
1,7,910
1,8,820
1,9,760
1,10,940
1,11,890
1,12,710
1,13,860
1,14,930
1,15,680
1,16,840
1,17,770
1,18,900
1,19,810
1,20,950
1,21,870
1,22,740
1,23,960
1,24,830
1,25,50
1,26,790
1,27,880
1,28,720
1,29,850
1,30,910
1,31,800
1,32,670
1,33,920
1,34,750
1,35,890
1,36,840
1,37,700
1,38,930
1,39,860
1,40,780
1,41,940
1,42,120
1,43,820
1,44,760
1,45,880
1,46,900
1,47,730
1,48,850
1,49,790
1,50,910
1,51,80
1,52,870
1,53,740
1,54,920
1,55,810
1,56,950
1,57,830
1,58,770
1,59,890
1,60,710
1,61,860
1,62,930
1,63,800
1,64,750
1,65,880
1,66,840
1,67,780
1,68,900
1,69,720
1,70,850
1,71,940
1,72,820
1,73,760
1,74,910
1,75,870
1,76,790
1,77,150
1,78,830
1,79,890
1,80,730
1,81,860
1,82,920
1,83,800
1,84,740
1,85,880
1,86,950
1,87,810
1,88,770
1,89,930
1,90,850
1,91,710
1,92,90
1,93,840
1,94,900
1,95,780
1,96,860
1,97,820
1,98,750
1,99,910
1,100,870
2,2,890
2,3,720
2,4,950
2,5,830
2,6,760
2,7,880
2,8,910
2,9,840
2,10,780
2,11,930
2,12,800
2,13,740
2,14,870
2,15,920
2,16,790
2,17,850
2,18,730
2,19,900
2,20,820
2,21,940
2,22,770
2,23,860
2,24,910
2,25,750
2,26,880
2,27,810
2,28,930
2,29,70
2,30,840
2,31,780
2,32,890
2,33,850
2,34,920
2,35,760
2,36,870
2,37,800
2,38,730
2,39,950
2,40,830
2,41,770
2,42,900
2,43,860
2,44,820
2,45,740
2,46,110
2,47,910
2,48,790
2,49,880
2,50,850
2,52,60
2,53,930
2,54,810
2,55,750
2,56,870
2,57,920
2,58,840
2,59,780
2,60,890
2,61,730
2,62,940
2,63,860
2,64,800
2,65,910
2,66,770
2,67,850
2,68,820
2,69,900
2,70,760
2,71,880
2,72,930
2,73,790
2,74,840
2,75,870
2,76,140
2,78,910
2,79,750
2,80,860
2,81,920
2,82,800
2,83,740
2,84,880
2,85,830
2,86,780
2,87,940
2,88,890
2,89,770
2,90,850
2,91,810
2,92,730
2,93,900
2,94,860
2,95,920
2,96,790
2,97,100
2,98,840
2,99,870
2,100,760
2,101,930
2,102,880
2,103,820
2,104,750
2,105,890
2,106,910
2,107,800
2,108,850
2,109,770
2,110,940
2,111,830
2,112,780
2,113,900
2,114,860
2,115,730
2,116,920
2,117,810
2,118,870
2,119,740
2,120,880
2,121,950
2,122,790
2,123,840
2,124,910
2,125,760
2,126,130
2,127,850
2,128,890
2,129,820
2,130,770
2,131,930
2,132,800
2,133,860
2,134,750
2,135,900
2,136,830
2,137,780
2,138,920
2,139,870
2,140,730
2,141,880
2,142,940
2,143,810
2,144,40
2,145,890
2,146,760
2,147,850
2,148,910
2,149,790
2,150,840
2,151,930
